timestamp,model,train_source,test_source,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,negative_precision,negative_recall,negative_f1,neutral_precision,neutral_recall,neutral_f1,positive_precision,positive_recall,positive_f1
2026-04-15T19:51:53,tfidf_lr,airlinequality,twitter,0.6415004748338081,0.3290157681565397,0.4663816521932755,0.36242962597976147,0.5365140738032523,0.655811623246493,0.967479674796748,0.7817258883248731,0.26,0.030303030303030304,0.054279749478079335,0.48333333333333334,0.08950617283950617,0.15104166666666666
2026-04-15T19:51:53,tfidf_lr,airlinequality,skytrax,0.7367468789578433,0.6425395312723944,0.6396670623383152,0.6517487590101769,0.7466676934155099,0.7461706783369803,0.7239915074309978,0.7349137931034483,0.3056179775280899,0.4165390505359878,0.3525599481529488,0.8672125311498754,0.8147157190635451,0.8401448525607863
2026-04-15T20:13:50,tfidf_svc,twitter,skytrax,0.4848923466618419,0.3313069243266846,0.4515693999298948,0.4208955541827322,0.4235713067546327,0.4004291845493562,0.9904458598726115,0.5702933985330073,0.0,0.0,0.0,0.9542790152403282,0.27224080267558526,0.42362737444704657
2026-04-15T20:13:51,tfidf_svc,twitter,airlinequality,0.7128772034657903,0.3646315192784822,0.39542558758003876,0.3748465429332484,0.6518551175447219,0.7403751233958539,0.9324492333195192,0.8253851797505503,0.0,0.0,0.0,0.4459016393442623,0.192090395480226,0.26850937808489633
2026-04-15T20:13:52,tfidf_svc,skytrax,twitter,0.6130104463437797,0.4563360833989951,0.4592310398584476,0.5176534295775488,0.595796657709895,0.7950310559006211,0.7568366592756837,0.775463839454752,0.23417721518987342,0.08624708624708624,0.1260647359454855,0.3484848484848485,0.7098765432098766,0.46747967479674796
2026-04-15T20:13:52,tfidf_svc,skytrax,airlinequality,0.7950403346280251,0.6457555820495989,0.6538994920405837,0.6707548860711405,0.7998796747309124,0.9356836588851835,0.8139245752175714,0.8705673758865248,0.45222929936305734,0.3141592920353982,0.370757180156658,0.5737855178735105,0.884180790960452,0.6959421901056142
2026-04-15T20:13:53,tfidf_svc,airlinequality,twitter,0.6396011396011396,0.29933842866535176,0.4294232539084926,0.34808862722141853,0.5225022231494125,0.6531820424272323,0.9785661492978566,0.7834319526627219,0.3684210526315789,0.016317016317016316,0.03125,0.26666666666666666,0.04938271604938271,0.08333333333333333
2026-04-15T20:13:54,tfidf_svc,airlinequality,skytrax,0.7039985525601592,0.5837228846494166,0.6146435490741115,0.5942151749055149,0.6936451739262363,0.6065573770491803,0.8837579617834395,0.7193778353856124,0.3782991202346041,0.19754977029096477,0.2595573440643863,0.8590741499385498,0.7013377926421405,0.7722334744982507
2026-04-15T20:13:57,cnn,twitter,skytrax,0.4262710331101864,0.285306410730797,0.47424059460492796,0.3869324884507352,0.34281145779506633,0.37548518896833505,0.975583864118896,0.5422628706298864,0.14492753623188406,0.015313935681470138,0.027700831024930747,0.9023090586145648,0.16989966555183947,0.2859555305375739
2026-04-15T20:13:58,cnn,twitter,airlinequality,0.7069017030176278,0.3399082943463069,0.4014042615285742,0.35612782836476353,0.6345180331815446,0.7332263242375602,0.9465395772896809,0.8263386396526773,0.045454545454545456,0.008849557522123894,0.014814814814814815,0.425531914893617,0.11299435028248588,0.17857142857142858
